"Date","Symbol","Name","Signal","Score","Entry Price","Target","Stop Loss","Status","PnL","PnL %","Days Held","Reason"
"2026-05-25","IRB","IRB Infrastructure Developers Ltd.","BUY","78","21.96","22.83","21.24","sl_hit","-0.72","-3.28","5","Outperforming Nifty by +6.7% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-25","ENRIN","Siemens Energy India Ltd.","BUY","75","3446.8","3601.04","3309.53","target_hit","154.24","4.47","3","Outperforming Nifty by +11.2% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-25","TECHNOE","Techno Electric & Engineering Company Ltd.","BUY","75","1331.9","1391.5","1278.86","sl_hit","-53.04","-3.98","2","Outperforming Nifty by +10.9% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-25","SAMMAANCAP","Sammaan Capital Ltd.","BUY","75","162.88","170.17","156.39","target_hit","7.29","4.48","2","Outperforming Nifty by +15.3% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-25","ATGL","Adani Total Gas Ltd.","BUY","82","656.95","687.86","632.18","target_hit","30.91","4.71","2","Outperforming Nifty by +6.5% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-21","PAGEIND","Page Industries Ltd.","BUY","75","38700","40431.83","37158.77","target_hit","1731.83","4.48","2","Outperforming Nifty by +6.8% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-21","SAMMAANCAP","Sammaan Capital Ltd.","BUY","75","153.72","160.6","147.6","target_hit","6.88","4.48","2","Outperforming Nifty by +7.1% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price above 200 EMA — long-term uptrend intact | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-21","ERIS","Eris Lifesciences Ltd.","BUY","88","1453.1","1465.11","1395.23","sl_hit","-57.87","-3.98","1","Outperforming Nifty by +5.4% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-15","HINDCOPPER","Hindustan Copper Ltd.","BUY","77","584.8","610.97","561.51","sl_hit","-23.29","-3.98","6","Outperforming Nifty by +4.3% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-05-15","NSLNISP","NMDC Steel Ltd.","BUY","82","45.37","47.4","43.56","sl_hit","-1.81","-3.99","4","Outperforming Nifty by +5.4% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
